E,N,MOLASSE,PROFONDEUR,ALTITUDE,lat,lon
2495376.3681018515,1116172.6515086205,-355.93,-65.1,412.83,46.18886762577398,6.083467331627515
2498379.7861574073,1116172.6515086205,-357.0,-160.0,417.0,46.189328234844176,6.122362886433081
2498580.0140277776,1116172.6515086205,-369.0,-200.0,385.0,46.18935846563518,6.124955946548206
2496577.735324074,1116770.475215517,-286.0,-170.0,386.0,46.19443047165343,6.098893067887951
2498379.7861574073,1116770.475215517,-380.95,-36.0,411.05,46.19470525587379,6.122232783335841
2498179.558287037,1116969.7497844826,-351.0,-253.0,421.0,46.19646730221693,6.119596011360041
2496577.735324074,1117169.0243534483,-340.0,-175.0,400.5,46.19801513516897,6.0988047820465034
2498780.241898148,1117169.0243534483,-365.28,-46.0,404.28,46.198350349191074,6.127333010242345
2495977.051712963,1117368.2989224135,-353.25,-37.9,391.15,46.19971479115837,6.090980013801958
2496777.9631944443,1117368.2989224135,-344.0,-170.0,420.0,46.19983824000213,6.101354180964193
2495576.5959722223,1117567.5734913792,-359.5,-51.0,409.0,46.2014450363866,6.085748370865045
2496777.9631944443,1117567.5734913792,-292.0,-152.0,420.0,46.20163057312988,6.10131011617987
2496978.1910648146,1117766.8480603448,-337.0,-156.0,422.0,46.203453621688155,6.10385976832127
2499380.925509259,1117766.8480603448,-355.565,-22.3,372.21500000000003,46.20381755822685,6.1349846311597735
2499581.1533796294,1117766.8480603448,-357.7,-20.0,372.5,46.20384749902561,6.137578388318432
2497578.874675926,1117966.12262931,-359.0,-67.5,424.4,46.20533774750706,6.111597216104017
2498179.558287037,1117966.12262931,-323.07,-275.0,418.07,46.205429002712876,6.1193786750805925
2499581.1533796294,1117966.12262931,-347.495,-26.85,370.145,46.20563984629136,6.137535512994648
2499781.38125,1117966.12262931,-346.1,-40.0,381.3,46.205669728488154,6.1401293583628
2495576.5959722223,1118165.3971982757,-365.6,-26.5,391.9,46.206822018462404,6.085614622539303
2496978.1910648146,1118165.3971982757,-356.02,-72.7,416.92,46.207038290657636,6.103771795077662
2498580.0140277776,1118165.3971982757,-344.39,-74.0,415.39,46.207281884129415,6.124523023740475
2498379.7861574073,1118364.6717672413,-358.08,-61.0,416.38,46.209043985128986,6.121885716826226
2498580.0140277776,1118364.6717672413,-368.0,-49.0,414.5,46.20907422677044,6.124479715871658
2498980.4697685186,1118364.6717672413,-351.9,-172.0,410.63,46.20913453130687,6.12966772254488
2498980.4697685186,1118563.946336207,-358.0,-252.0,412.0,46.21092687605254,6.129624582623148
